TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionYear,TransactionMonth,TransactionDay,TransactionDayOfWeek,TransactionHour,DaysSincePrevTransaction,TransactionID,AccountID,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerOccupation,Cluster,ClusterLabel,ClusterDescription
14.09,70,81,1,5112.21,2023,4,11,1,16,-573,TX000001,AC00128,Debit,San Diego,D000380,162.198.218.92,M015,ATM,Doctor,1,Cluster 1,ATM-Focused Debit Users
376.24,68,141,1,13758.91,2023,6,27,1,16,-496,TX000002,AC00455,Debit,Houston,D000051,13.149.61.4,M052,ATM,Doctor,1,Cluster 1,ATM-Focused Debit Users
126.29,19,56,1,1122.35,2023,7,10,0,18,-483,TX000003,AC00019,Debit,Mesa,D000235,215.97.143.157,M009,Online,Student,3,Cluster 3,Online Banking Users
184.5,26,25,1,8569.06,2023,5,5,4,16,-549,TX000004,AC00070,Debit,Raleigh,D000187,200.13.225.150,M002,Online,Student,3,Cluster 3,Online Banking Users
13.45,26,198,1,7429.4,2023,10,16,0,17,-385,TX000005,AC00411,Credit,Atlanta,D000308,65.164.3.100,M091,Online,Student,2,Cluster 2,Branch-Based Credit Users
92.15,18,172,1,781.68,2023,4,3,0,17,-581,TX000006,AC00393,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,Student,1,Cluster 1,ATM-Focused Debit Users
7.08,37,139,1,13316.71,2023,2,15,2,16,-628,TX000007,AC00199,Credit,Seattle,D000241,140.212.253.222,M019,ATM,Doctor,2,Cluster 2,Branch-Based Credit Users
171.42,67,291,1,2796.24,2023,5,8,0,17,-546,TX000008,AC00069,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,Retired,2,Cluster 2,Branch-Based Credit Users
106.23,51,86,1,9095.14,2023,3,21,1,16,-594,TX000009,AC00135,Credit,Detroit,D000690,24.148.92.177,M035,Branch,Engineer,2,Cluster 2,Branch-Based Credit Users
815.96,55,120,1,1021.88,2023,3,31,4,16,-584,TX000010,AC00385,Debit,Nashville,D000199,32.169.88.41,M007,ATM,Doctor,1,Cluster 1,ATM-Focused Debit Users
17.78,52,59,1,7599.52,2023,3,14,1,16,-601,TX000011,AC00150,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,Engineer,2,Cluster 2,Branch-Based Credit Users
190.02,21,173,1,1528.81,2023,2,6,0,17,-637,TX000012,AC00459,Debit,Memphis,D000589,116.175.11.222,M030,Online,Student,3,Cluster 3,Online Banking Users
494.52,24,111,1,1620.02,2023,6,7,2,17,-516,TX000013,AC00392,Credit,Mesa,D000032,210.98.198.143,M057,Branch,Student,2,Cluster 2,Branch-Based Credit Users
781.76,26,123,1,189.69,2023,11,20,0,16,-350,TX000014,AC00264,Debit,Memphis,D000054,193.83.0.183,M025,ATM,Student,1,Cluster 1,ATM-Focused Debit Users
166.99,18,134,1,299.93,2023,2,13,0,16,-630,TX000015,AC00085,Debit,Louisville,D000309,188.124.181.12,M017,Online,Student,3,Cluster 3,Online Banking Users
465.45,36,129,1,3465.54,2023,12,12,1,16,-328,TX000016,AC00270,Debit,Denver,D000466,221.169.49.152,M025,ATM,Engineer,1,Cluster 1,ATM-Focused Debit Users
555.8,19,158,1,1131.26,2023,10,30,0,16,-371,TX000017,AC00317,Credit,Austin,D000671,53.218.177.171,M048,Branch,Student,2,Cluster 2,Branch-Based Credit Users
492.93,39,234,1,5109.97,2023,12,14,3,18,-326,TX000018,AC00359,Debit,Columbus,D000432,114.223.129.47,M059,Online,Engineer,3,Cluster 3,Online Banking Users
18.68,59,106,1,7948.37,2023,2,21,1,16,-622,TX000019,AC00242,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,Retired,2,Cluster 2,Branch-Based Credit Users
71.48,18,169,1,6568.59,2023,6,8,3,18,-515,TX000020,AC00285,Credit,Columbus,D000039,120.170.93.69,M039,Online,Student,2,Cluster 2,Branch-Based Credit Users
59.32,71,38,1,5750.89,2023,2,28,1,16,-615,TX000021,AC00002,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,Retired,0,Cluster 0,Branch-Based Debit Users
85.77,38,93,1,9146.19,2023,8,11,4,18,-451,TX000022,AC00014,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,Doctor,0,Cluster 0,Branch-Based Debit Users
52.2,39,120,1,8974.93,2023,6,6,1,18,-517,TX000023,AC00095,Debit,Atlanta,D000142,133.63.96.21,M022,Online,Engineer,3,Cluster 3,Online Banking Users
145.54,21,96,1,1930.96,2023,3,2,3,16,-613,TX000025,AC00241,Debit,Raleigh,D000036,119.186.154.104,M028,Online,Student,3,Cluster 3,Online Banking Users
7.49,65,276,1,3634.67,2023,10,20,4,17,-381,TX000026,AC00041,Credit,Houston,D000671,81.248.235.147,M043,Online,Retired,2,Cluster 2,Branch-Based Credit Users
40.32,37,95,1,2686.52,2023,3,29,2,16,-586,TX000028,AC00057,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,Engineer,0,Cluster 0,Branch-Based Debit Users
127.45,44,197,1,1772.06,2023,1,24,1,16,-650,TX000029,AC00390,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,Doctor,3,Cluster 3,Online Banking Users
56.17,27,283,1,1351.69,2023,9,20,2,16,-411,TX000030,AC00313,Debit,Detroit,D000297,33.28.138.82,M043,Branch,Student,0,Cluster 0,Branch-Based Debit Users
28.31,59,20,1,8334.47,2023,7,17,0,17,-476,TX000031,AC00367,Credit,Miami,D000587,35.67.21.23,M091,Online,Doctor,2,Cluster 2,Branch-Based Credit Users
59.12,29,257,1,9823.64,2023,2,6,0,16,-637,TX000032,AC00291,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,Doctor,1,Cluster 1,ATM-Focused Debit Users
877.81,22,150,1,399.0,2023,3,13,0,17,-602,TX000034,AC00359,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,Student,3,Cluster 3,Online Banking Users
255.26,45,50,1,14815.87,2023,10,27,4,16,-374,TX000035,AC00365,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,Doctor,2,Cluster 2,Branch-Based Credit Users
124.76,49,45,1,5764.72,2023,10,16,0,16,-385,TX000036,AC00267,Debit,Seattle,D000042,59.145.242.13,M002,Branch,Engineer,0,Cluster 0,Branch-Based Debit Users
78.13,26,145,1,900.61,2023,11,21,1,16,-349,TX000037,AC00404,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,Student,0,Cluster 0,Branch-Based Debit Users
649.28,75,137,1,4875.86,2023,3,2,3,17,-613,TX000038,AC00202,Debit,San Jose,D000448,73.108.76.238,M074,ATM,Retired,1,Cluster 1,ATM-Focused Debit Users
335.63,55,216,1,1019.39,2023,1,24,1,17,-650,TX000040,AC00405,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,Retired,3,Cluster 3,Online Banking Users
328.47,63,119,1,4323.66,2023,7,31,0,18,-462,TX000041,AC00421,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,Retired,1,Cluster 1,ATM-Focused Debit Users
34.02,38,19,1,14214.48,2023,1,9,0,16,-665,TX000042,AC00480,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,Doctor,3,Cluster 3,Online Banking Users
241.42,57,116,1,13357.02,2023,4,20,3,18,-564,TX000043,AC00120,Credit,Charlotte,D000198,60.89.202.192,M044,Online,Doctor,2,Cluster 2,Branch-Based Credit Users
55.32,19,117,1,241.79,2023,4,12,2,16,-572,TX000044,AC00117,Debit,Tucson,D000197,173.135.78.201,M009,ATM,Student,1,Cluster 1,ATM-Focused Debit Users
304.31,27,33,1,868.61,2023,7,26,2,16,-467,TX000045,AC00011,Debit,Louisville,D000685,77.208.193.198,M005,Branch,Student,0,Cluster 0,Branch-Based Debit Users
435.27,74,90,1,4673.28,2023,10,4,2,17,-397,TX000046,AC00401,Debit,Chicago,D000297,197.162.55.147,M051,Branch,Retired,0,Cluster 0,Branch-Based Debit Users
164.49,26,75,1,1509.27,2023,12,13,2,16,-327,TX000047,AC00282,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,Student,0,Cluster 0,Branch-Based Debit Users
510.24,19,105,1,781.7,2023,10,9,0,16,-392,TX000048,AC00439,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,Student,3,Cluster 3,Online Banking Users
626.9,26,138,1,265.51,2023,11,27,0,16,-343,TX000049,AC00296,Debit,Denver,D000284,93.146.251.20,M023,Online,Student,3,Cluster 3,Online Banking Users
22.01,41,175,1,1335.09,2023,3,27,0,16,-588,TX000050,AC00471,Credit,Sacramento,D000304,124.6.134.78,M055,Online,Engineer,2,Cluster 2,Branch-Based Credit Users
425.34,69,121,1,3907.54,2023,2,13,0,16,-630,TX000051,AC00159,Credit,Kansas City,D000661,139.23.212.102,M040,Online,Retired,2,Cluster 2,Branch-Based Credit Users
424.56,51,264,1,5183.85,2023,2,21,1,17,-622,TX000052,AC00482,Debit,Omaha,D000598,179.43.245.131,M015,Online,Engineer,3,Cluster 3,Online Banking Users
85.43,67,145,1,14904.9,2023,6,7,2,16,-516,TX000053,AC00115,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,Doctor,0,Cluster 0,Branch-Based Debit Users
169.5,28,142,1,918.88,2023,9,7,3,16,-424,TX000054,AC00055,Debit,San Diego,D000442,42.219.228.159,M036,Branch,Student,0,Cluster 0,Branch-Based Debit Users
104.63,62,90,1,4477.78,2023,3,29,2,17,-586,TX000055,AC00419,Debit,Omaha,D000642,186.135.2.148,M095,ATM,Retired,1,Cluster 1,ATM-Focused Debit Users
316.95,25,83,1,1324.03,2023,8,4,4,17,-458,TX000056,AC00374,Debit,Mesa,D000013,81.102.230.41,M052,Branch,Student,0,Cluster 0,Branch-Based Debit Users
60.54,57,52,1,3534.93,2023,12,14,3,17,-326,TX000057,AC00271,Credit,Columbus,D000462,1.198.76.182,M095,Branch,Retired,2,Cluster 2,Branch-Based Credit Users
292.56,68,61,1,4638.37,2023,3,3,4,17,-612,TX000058,AC00456,Credit,Dallas,D000311,198.73.211.114,M075,Branch,Retired,2,Cluster 2,Branch-Based Credit Users
386.52,48,28,1,5630.61,2023,6,9,4,16,-514,TX000059,AC00143,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,Engineer,0,Cluster 0,Branch-Based Debit Users
112.07,23,51,1,930.3,2023,10,2,0,16,-399,TX000060,AC00427,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,Student,0,Cluster 0,Branch-Based Debit Users
568.52,46,152,1,5499.91,2023,10,6,4,18,-395,TX000061,AC00438,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,Engineer,1,Cluster 1,ATM-Focused Debit Users
349.64,48,226,1,6651.62,2023,11,7,1,16,-363,TX000063,AC00425,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,Engineer,3,Cluster 3,Online Banking Users
601.4,56,104,1,8458.29,2023,5,30,1,17,-524,TX000064,AC00325,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,Engineer,2,Cluster 2,Branch-Based Credit Users
5.77,50,124,1,13988.12,2023,11,2,3,16,-368,TX000065,AC00434,Debit,Charlotte,D000461,155.164.18.235,M071,Online,Doctor,3,Cluster 3,Online Banking Users
201.33,42,186,1,2585.07,2023,3,29,2,17,-586,TX000066,AC00242,Credit,Nashville,D000098,145.246.171.225,M003,Branch,Engineer,2,Cluster 2,Branch-Based Credit Users
298.42,56,225,1,3014.75,2023,4,25,1,16,-559,TX000067,AC00319,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,Retired,0,Cluster 0,Branch-Based Debit Users
521.06,25,128,1,1951.42,2023,4,18,1,18,-566,TX000068,AC00460,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,Student,0,Cluster 0,Branch-Based Debit Users
117.28,60,16,1,3665.77,2023,2,9,3,16,-634,TX000069,AC00461,Credit,Austin,D000128,46.150.175.171,M057,Online,Engineer,2,Cluster 2,Branch-Based Credit Users
189.12,32,103,1,977.01,2023,11,13,0,16,-357,TX000070,AC00395,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,Engineer,2,Cluster 2,Branch-Based Credit Users
133.55,44,220,1,3846.28,2023,7,18,1,16,-475,TX000071,AC00217,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,Engineer,1,Cluster 1,ATM-Focused Debit Users
143.21,35,135,1,6374.82,2023,1,13,4,17,-661,TX000072,AC00053,Debit,Dallas,D000410,65.164.3.100,M066,Online,Engineer,3,Cluster 3,Online Banking Users
24.77,62,55,1,5866.01,2023,7,4,1,18,-489,TX000073,AC00282,Debit,Boston,D000180,9.230.41.239,M070,ATM,Retired,1,Cluster 1,ATM-Focused Debit Users
233.92,26,280,1,6537.62,2023,10,20,4,16,-381,TX000074,AC00110,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,Student,2,Cluster 2,Branch-Based Credit Users
232.12,37,51,1,6689.87,2023,12,28,3,17,-312,TX000076,AC00239,Debit,Omaha,D000073,156.173.170.140,M066,ATM,Engineer,1,Cluster 1,ATM-Focused Debit Users
162.63,22,113,1,634.17,2023,6,12,0,17,-511,TX000077,AC00007,Debit,Kansas City,D000070,60.153.124.80,M060,Online,Student,3,Cluster 3,Online Banking Users
91.53,44,69,1,14676.05,2023,3,13,0,16,-602,TX000078,AC00022,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,Doctor,0,Cluster 0,Branch-Based Debit Users
120.29,19,77,1,1362.39,2023,12,18,0,18,-322,TX000079,AC00464,Debit,Miami,D000561,162.198.218.92,M045,Branch,Student,0,Cluster 0,Branch-Based Debit Users
174.25,50,67,1,10528.34,2023,7,17,0,18,-476,TX000080,AC00014,Debit,Seattle,D000375,130.92.201.49,M032,Online,Doctor,3,Cluster 3,Online Banking Users
183.71,38,102,1,552.52,2023,6,19,0,18,-504,TX000081,AC00406,Debit,Denver,D000488,86.103.2.29,M074,ATM,Engineer,1,Cluster 1,ATM-Focused Debit Users
345.39,58,80,1,6451.96,2023,10,23,0,17,-378,TX000082,AC00445,Credit,Phoenix,D000097,131.41.45.13,M081,Online,Engineer,2,Cluster 2,Branch-Based Credit Users
259.91,49,170,1,7176.86,2023,11,6,0,16,-364,TX000084,AC00220,Debit,Denver,D000616,36.13.239.172,M028,Online,Doctor,3,Cluster 3,Online Banking Users
